iter	RMSE
541	8469.743036
542	8461.290107
543	8444.298021
544	8430.460916
545	8421.257131
546	8406.159952
547	8393.424749
548	8370.353339
549	8367.168826
550	8356.049491
551	8346.085137
552	8328.931598
553	8312.859408
554	8302.56136
555	8297.232989
556	8281.119106
557	8266.828632
558	8252.847813
559	8242.212152
560	8228.771548
561	8207.46481
562	8198.292122
563	8191.275334
564	8182.847272
565	8173.473407
566	8162.736504
567	8149.192597
568	8131.535465
569	8119.790338
570	8097.78677
571	8082.188251
572	8072.400714
573	8057.890652
574	8044.899698
575	8040.760944
576	8029.511193
577	8014.366692
578	8003.696141
579	7989.519422
580	7979.227286
581	7965.517274
582	7958.027146
583	7938.099408
584	7928.457036
585	7908.460394
586	7898.601454
587	7889.00377
588	7880.121575
589	7868.46032
590	7857.266538
591	7843.943578
592	7822.554441
593	7814.702687
594	7803.420454
595	7788.456448
596	7778.337151
597	7768.495306
598	7760.954007
599	7750.912007
600	7741.855935
601	7727.851031
602	7719.508946
603	7706.643158
604	7701.703244
605	7693.655448
606	7680.0523
607	7666.29941
608	7656.20008
609	7642.920764
610	7628.550187
611	7610.147992
612	7597.051588
613	7588.348548
614	7576.15298
615	7566.903965
616	7557.106017
617	7548.351472
618	7524.93107
619	7518.196972
620	7502.630575
621	7483.920806
622	7467.601776
623	7449.330624
624	7447.965498
625	7445.117834
626	7443.839848
627	7432.334789
628	7422.296579
629	7406.120316
630	7396.017419
631	7383.29379
632	7373.83175
633	7363.44821
634	7351.561255
635	7334.113181
636	7328.239959
637	7321.42415
638	7313.139615
639	7301.208005
640	7293.410706
641	7284.88563
642	7271.019549
643	7263.136086
644	7253.943867
645	7239.961049
646	7230.953248
647	7221.456267
648	7212.948688
649	7206.240458
650	7194.61257
651	7179.797653
652	7172.129964
653	7161.532029
654	7148.681302
655	7134.882488
656	7117.538283
657	7105.599233
658	7095.341439
659	7084.532185
660	7075.370177
661	7071.600333
662	7059.91118
663	7045.802595
664	7034.494915
665	7026.021268
666	7020.328941
667	7019.303633
668	7018.051138
669	7009.553433
670	6997.909841
671	6990.564932
672	6980.796448
673	6970.493764
674	6960.567673
675	6952.241112
676	6944.353124
677	6936.612645
678	6926.589828
679	6914.063012
680	6906.683102
681	6895.137413
682	6882.909747
683	6881.518231
684	6871.080805
685	6867.656185
686	6862.067813
687	6861.213717
688	6845.923984
689	6833.476069
690	6816.76912
691	6810.008563
692	6801.801466
693	6793.636285
694	6781.230947
695	6770.686165
696	6762.344037
697	6761.563817
698	6760.6879
699	6752.409822
700	6745.516415
701	6728.930918
702	6728.204089
703	6722.168166
704	6712.854053
705	6702.233544
706	6698.071411
707	6681.247556
708	6670.575315
709	6661.195689
710	6651.013666
711	6641.221777
712	6628.394797
713	6626.645393
714	6616.747025
715	6610.090343
716	6597.354825
717	6585.126115
718	6573.446351
719	6561.623948
720	6551.573315
721	6546.72264
722	6538.184497
723	6527.892655
724	6522.438356
725	6512.579622
726	6496.415208
727	6490.247551
728	6482.24668
729	6473.712328
730	6460.693139
731	6453.196259
732	6439.465157
733	6433.465354
734	6419.886134
735	6411.007424
736	6399.192942
737	6392.164156
738	6386.332674
739	6378.293543
740	6370.54189
741	6364.064925
742	6358.749403
743	6358.026458
744	6345.192773
745	6341.232623
746	6327.056603
747	6326.341265
748	6314.865721
749	6306.947591
750	6297.201194
751	6283.817178
752	6274.581533
753	6273.91849
754	6263.731128
755	6257.224478
756	6248.327563
757	6239.889478
758	6230.793265
759	6220.005972
760	6211.324581
761	6200.333506
762	6190.738631
763	6183.835383
764	6170.740393
765	6161.715061
766	6153.046255
767	6141.405333
768	6133.669099
769	6124.444147
770	6115.250754
771	6106.014814
772	6092.861699
773	6082.39971
774	6076.348662
775	6075.419134
776	6064.975996
777	6058.504771
778	6050.441189
779	6040.594055
780	6030.850403
781	6023.849276
782	6017.637423
783	6012.104851
