iter	Passed	Remaining
702	3507	1481
703	3512	1476
704	3517	1471
705	3521	1466
706	3526	1461
707	3530	1456
708	3535	1451
709	3540	1446
710	3545	1440
711	3549	1435
712	3554	1430
713	3559	1425
714	3564	1420
715	3569	1415
716	3574	1410
717	3579	1405
718	3583	1400
719	3588	1395
720	3593	1390
721	3597	1385
722	3602	1380
723	3607	1375
724	3612	1370
725	3617	1365
726	3623	1360
727	3628	1355
728	3632	1350
729	3637	1345
730	3641	1340
731	3646	1334
732	3650	1329
733	3655	1324
734	3659	1319
735	3664	1314
736	3668	1309
737	3673	1304
738	3678	1299
739	3683	1294
740	3688	1289
741	3693	1284
742	3698	1279
743	3703	1274
744	3708	1269
745	3713	1264
746	3718	1259
747	3723	1254
748	3727	1249
749	3732	1244
750	3737	1239
751	3742	1234
752	3748	1229
753	3753	1224
754	3758	1219
755	3762	1214
756	3767	1209
757	3772	1204
758	3777	1199
759	3781	1194
760	3786	1189
761	3791	1184
762	3795	1179
763	3800	1174
764	3805	1168
765	3810	1163
766	3815	1158
767	3820	1154
768	3824	1148
769	3829	1143
770	3834	1138
771	3838	1133
772	3843	1128
773	3848	1123
774	3852	1118
775	3857	1113
776	3861	1108
777	3866	1103
778	3870	1098
779	3875	1093
780	3879	1087
781	3884	1082
782	3888	1077
783	3893	1072
784	3897	1067
785	3902	1062
786	3906	1057
787	3911	1052
788	3917	1047
789	3922	1042
790	3927	1037
791	3932	1032
792	3937	1027
793	3943	1023
794	3949	1018
795	3954	1013
796	3960	1008
797	3966	1004
798	3984	1002
799	3991	997
800	3997	993
801	4002	988
802	4009	983
803	4015	978
804	4021	974
805	4042	973
806	4047	968
807	4052	962
808	4057	957
809	4061	952
810	4066	947
811	4071	942
812	4075	937
813	4080	932
814	4084	927
815	4089	922
816	4093	916
817	4098	911
818	4103	906
819	4108	901
820	4113	896
821	4117	891
822	4122	886
823	4142	884
824	4147	879
825	4152	874
826	4157	869
827	4162	864
828	4167	859
829	4171	854
830	4186	851
831	4190	846
832	4195	841
833	4200	835
834	4204	830
835	4209	825
836	4214	820
837	4218	815
838	4223	810
839	4228	805
840	4232	800
841	4244	796
842	4249	791
843	4254	786
844	4258	781
845	4263	776
846	4272	771
847	4277	766
848	4281	761
849	4286	756
850	4290	751
851	4295	746
852	4299	741
853	4304	735
854	4308	730
855	4328	728
856	4332	722
857	4337	717
858	4341	712
859	4346	707
860	4351	702
861	4355	697
862	4359	692
863	4364	687
864	4368	681
865	4373	676
866	4377	671
867	4382	666
868	4386	661
869	4391	656
870	4395	651
871	4400	645
872	4404	640
873	4409	635
874	4413	630
875	4418	625
876	4422	620
